"","Units","dates","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","PSndvi_mean","PSndwi_mean"
"201",750,"2022-08-20",762.625,NA,3501.007752,0.4209375,NA,NA
"202",750,"2022-07-22",762.625,NA,3501.007752,0.4209375,NA,NA
"203",750,"2022-12-07",762.625,NA,3501.007752,0.4209375,NA,NA
"204",750,"2022-09-05",762.625,NA,3501.007752,0.4209375,0.49,-0.58
"205",750,"2022-10-29",762.625,NA,3501.007752,0.4209375,NA,NA
"206",750,"2022-04-27",762.625,NA,3501.007752,0.4209375,NA,NA
"207",750,"2022-10-04",762.625,NA,3501.007752,0.4209375,0.424076551867072,-0.537100207069959
"208",750,"2022-07-11",762.625,NA,3501.007752,0.4209375,0.686913821625071,-0.666515154319537
"209",800,"2022-08-27",762.4444444,NA,3470.827164,0.4225,NA,NA
"210",800,"2022-08-20",762.4444444,NA,3470.827164,0.4225,NA,NA
"211",800,"2022-06-28",762.4444444,NA,3470.827164,0.4225,0.730469944,-0.680073194
"212",800,"2022-09-05",762.4444444,NA,3470.827164,0.4225,0.5,-0.59
"213",800,"2022-07-22",762.4444444,NA,3470.827164,0.4225,NA,NA
"214",800,"2022-10-29",762.4444444,NA,3470.827164,0.4225,NA,NA
"215",800,"2022-04-27",762.4444444,NA,3470.827164,0.4225,NA,NA
"216",800,"2022-05-23",762.4444444,NA,3470.827164,0.4225,NA,NA
"217",800,"2022-12-07",762.4444444,NA,3470.827164,0.4225,NA,NA
"218",800,"2022-08-11",762.4444444,NA,3470.827164,0.4225,NA,NA
"219",800,"2022-09-20",762.4444444,NA,3470.827164,0.4225,NA,NA
"220",800,"2022-10-04",762.4444444,NA,3470.827164,0.4225,0.434137909140635,-0.540119375479912
"221",800,"2022-07-11",762.4444444,NA,3470.827164,0.4225,0.692386380184528,-0.666359798714172
"222",850,"2022-10-29",761.25,NA,3441.108358,0.461875,NA,NA
"223",850,"2022-05-23",761.25,NA,3441.108358,0.461875,NA,NA
"224",850,"2022-08-27",761.25,NA,3441.108358,0.461875,NA,NA
"225",850,"2022-08-20",761.25,NA,3441.108358,0.461875,NA,NA
"226",850,"2022-12-07",761.25,NA,3441.108358,0.461875,NA,NA
"227",850,"2022-04-27",761.25,NA,3441.108358,0.461875,NA,NA
"228",850,"2022-07-22",761.25,NA,3441.108358,0.461875,NA,NA
"229",850,"2022-09-20",761.25,NA,3441.108358,0.461875,NA,NA
"230",850,"2022-06-28",761.25,NA,3441.108358,0.461875,0.725526616,-0.67654793
"231",850,"2022-10-04",761.25,NA,3441.108358,0.461875,0.418279221751774,-0.528424426273565
"232",850,"2022-08-11",761.25,NA,3441.108358,0.461875,NA,NA
"233",850,"2022-09-05",761.25,NA,3441.108358,0.461875,0.49,-0.57
"234",850,"2022-07-11",761.25,NA,3441.108358,0.461875,0.684682865314506,-0.661097843264869
"235",900,"2022-06-28",760.375,NA,3411.480963,0.480625,0.719875123,-0.677283488
"236",900,"2022-08-11",760.375,NA,3411.480963,0.480625,NA,NA
"237",900,"2022-10-29",760.375,NA,3411.480963,0.480625,NA,NA
"238",900,"2022-09-20",760.375,NA,3411.480963,0.480625,NA,NA
"239",900,"2022-04-27",760.375,NA,3411.480963,0.480625,NA,NA
"240",900,"2022-08-27",760.375,NA,3411.480963,0.480625,NA,NA
"241",900,"2022-12-07",760.375,NA,3411.480963,0.480625,NA,NA
"242",900,"2022-09-05",760.375,NA,3411.480963,0.480625,0.48,-0.57
"243",900,"2022-05-23",760.375,NA,3411.480963,0.480625,NA,NA
"244",900,"2022-07-22",760.375,NA,3411.480963,0.480625,NA,NA
"245",900,"2022-08-20",760.375,NA,3411.480963,0.480625,NA,NA
"246",900,"2022-07-11",760.375,NA,3411.480963,0.480625,0.67571946888469,-0.659719815919566
"247",900,"2022-10-04",760.375,NA,3411.480963,0.480625,0.410839196285115,-0.525656271131733
"248",950,"2022-09-20",761.625,NA,3378.024887,0.48453125,NA,NA
"249",950,"2022-12-07",761.625,NA,3378.024887,0.48453125,NA,NA
"250",950,"2022-08-20",761.625,NA,3378.024887,0.48453125,NA,NA
"251",950,"2022-06-28",761.625,NA,3378.024887,0.48453125,0.72045525,-0.683546858
"252",950,"2022-10-04",761.625,NA,3378.024887,0.48453125,0.412922309412516,-0.529173598993292
"253",950,"2022-07-11",761.625,NA,3378.024887,0.48453125,0.679963462681414,-0.664458601692013
"254",950,"2022-08-27",761.625,NA,3378.024887,0.48453125,NA,NA
"255",950,"2022-07-22",761.625,NA,3378.024887,0.48453125,NA,NA
"256",950,"2022-10-29",761.625,NA,3378.024887,0.48453125,NA,NA
"257",950,"2022-05-23",761.625,NA,3378.024887,0.48453125,NA,NA
"258",950,"2022-04-27",761.625,NA,3378.024887,0.48453125,NA,NA
"259",950,"2022-09-05",761.625,NA,3378.024887,0.48453125,0.48,-0.58
"260",950,"2022-08-11",761.625,NA,3378.024887,0.48453125,NA,NA
"261",1000,"2022-08-27",762.375,NA,3344.981542,0.48546875,NA,NA
"262",1000,"2022-05-23",762.375,NA,3344.981542,0.48546875,NA,NA
"263",1000,"2022-09-20",762.375,NA,3344.981542,0.48546875,NA,NA
"264",1000,"2022-08-11",762.375,NA,3344.981542,0.48546875,NA,NA
"265",1000,"2022-12-07",762.375,NA,3344.981542,0.48546875,NA,NA
"266",1000,"2022-10-29",762.375,NA,3344.981542,0.48546875,NA,NA
