"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"49",3467,28850,6,"BN","Dry",1,560.06,0,127.860625,7,0,0,0,1486.994638,264.3819967,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.277960993,-0.252786495,-0.20926793,0.045993665,-0.011444943,-0.26314803,5,0,0,0,0,0.294871795,0.705128205,0,0
"50",3473,28900,6,"BN","Dry",1,560.36,0,127.8609375,6,0,0,0,1536.287295,232.2357716,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.290481141,-0.261615842,-0.209728605,0.057846265,-0.002019274,-0.26362425,2,0,0,0,0,0.555555556,0.444444444,0,0
"51",3479,28950,6,"BN","Dry",1,559.73,0,127.8801563,7,0,0,0,1569.386092,240.3345627,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.360329469,-0.318847133,-0.188094754,0.134511261,0.076226606,-0.248650704,2,0,0,0,0,0.848101266,0.151898734,0,0
"52",3485,29000,6,"BN","Dry",1,559.38,0,129.9567188,10,0,0,0,1559.786437,288.0376557,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.281690801,-0.255297598,-0.23211293,0.032937808,-0.028049781,-0.282822683,5,0,0,0,0,0.269230769,0.730769231,0,0
"53",3491,29050,6,"BN","Dry",1,559.47,0,129.9657813,8,0,0,0,1593.418658,304.6573256,0,15,0,0,0.25,0.75,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.253355847,-0.231361176,-0.24497222,-0.001707262,-0.061749068,-0.290204102,5,0,0,0,0,0.0625,0.9375,0,0
"54",3497,29100,6,"BN","Dry",1,559.31,0,129.96625,6,0,0,0,1628.311773,265.223288,0,15,0,0,0.333333333,0.666666667,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.273504999,-0.251123996,-0.230220261,0.025707285,-0.036282925,-0.286219853,5,0,0,0,0,0.1625,0.8375,0,0
"55",3503,29150,6,"BN","Dry",1,558.4,0,130.1757813,6,0,0,0,1652.578265,218.8711352,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.27951044,-0.260804919,-0.216387494,0.043915081,-0.016637862,-0.276880862,5,0,0,0,0,0.1375,0.825,0.0375,0
"56",3509,29200,6,"BN","Dry",1,557.65,0,130.2148438,9,0,0,0,1664.78689,169.3369518,0,15,0,0,0,0.833333333,0,0,0.166666667,77.978,5.041834104,441.84,5.57,-0.01,0.268090393,-0.259331161,-0.201338944,0.050403004,-0.00745769,-0.266359761,5,0,0,0,0,0,0.925,0.075,0
"57",3515,29250,6,"BN","Dry",1,557.34,0,130.2173438,8,0,0,0,1663.79445,120.7567022,0,15,0,0,0,0.875,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.259424693,-0.252006372,-0.213686013,0.030330491,-0.029933597,-0.279938589,5,0,0,0,0,0,0.961038961,0.038961039,0
"58",3521,29300,6,"BN","Dry",1,558.24,0,130.325625,6,0,0,0,1659.967686,76.03921022,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.243475212,-0.237901716,-0.227705802,-8.1e-05,-0.059534162,-0.293368385,5,0,0,0,0,0,1,0,0
